date,apparel_cpi,wages
2012-11-01,269.4724576271186,793.6
2012-12-01,269.68008474576266,795.9999999999999
2013-01-01,271.3474576271186,797.1999999999999
2013-02-01,271.4703389830508,799.5999999999999
2013-03-01,269.0042372881356,800.4000000000001
2013-04-01,268.8665254237288,801.6
2013-05-01,268.8898305084746,802.0
2013-06-01,269.0572033898305,805.1999999999999
2013-07-01,270.4343220338983,805.6000000000001
2013-08-01,269.9406779661017,806.8000000000002
2013-09-01,269.6631355932203,809.2
2013-10-01,269.0423728813559,810.0
2013-11-01,269.77330508474574,812.3999999999999
2013-12-01,272.40889830508473,813.5999999999999
2014-01-01,270.9364406779661,815.6
2014-02-01,269.65889830508473,820.4000000000001
2014-03-01,269.9978813559322,819.9999999999999
2014-04-01,270.0741525423728,820.4000000000001
2014-05-01,270.7055084745762,821.1999999999999
2014-06-01,271.14830508474574,824.0
2014-07-01,271.0635593220338,824.4
2014-08-01,269.8241525423728,826.4
2014-09-01,270.7902542372881,826.4
2014-10-01,270.6800847457627,827.9999999999999
2014-11-01,269.60593220338984,830.8
2014-12-01,268.2987288135593,828.4000000000001
2015-01-01,267.2224576271186,832.0
2015-02-01,266.86440677966095,833.6
2015-03-01,268.27542372881356,836.4000000000001
2015-04-01,267.77542372881356,836.8000000000001
2015-05-01,266.59110169491527,839.1999999999999
2015-06-01,265.91101694915255,840.0
2015-07-01,266.29025423728814,841.2
2015-08-01,267.3008474576271,844.3999999999999
2015-09-01,266.9724576271186,843.6
2015-10-01,265.5148305084746,847.6000000000001
2015-11-01,266.364406779661,848.4
2015-12-01,267.0381355932203,849.2
2016-01-01,264.82838983050846,852.3999999999999
2016-02-01,266.7330508474576,853.2
2016-03-01,266.6165254237288,855.6000000000001
2016-04-01,266.4872881355932,858.4
2016-05-01,268.44703389830505,859.2
2016-06-01,267.53389830508473,860.8000000000001
2016-07-01,266.69703389830505,863.1999999999999
2016-08-01,267.26271186440675,864.0
2016-09-01,266.76694915254234,864.8
2016-10-01,268.0529661016949,868.4000000000001
2016-11-01,268.23093220338984,868.4000000000001
2016-12-01,267.34110169491527,870.4000000000001
2017-01-01,267.0423728813559,872.8
2017-02-01,267.07203389830505,874.0
2017-03-01,267.79025423728814,875.1999999999999
2017-04-01,267.5868644067796,877.6
2017-05-01,266.20974576271186,878.8000000000001
2017-06-01,265.9067796610169,880.8
2017-07-01,265.61016949152537,882.8
2017-08-01,265.6567796610169,884.0
2017-09-01,266.4385593220339,887.2
2017-10-01,266.8665254237288,887.2
2017-11-01,264.88135593220335,888.8
2017-12-01,263.20762711864404,891.6
2018-01-01,264.52330508474574,894.3999999999999
2018-02-01,266.6080508474576,896.4000000000001
2018-03-01,267.9851694915254,899.5999999999999
2018-04-01,269.75847457627117,902.0
2018-05-01,270.05084745762707,904.0000000000001
2018-06-01,267.76271186440675,906.4
2018-07-01,266.26271186440675,908.0
2018-08-01,261.5487288135593,911.2
2018-09-01,265.13347457627117,914.4
2018-10-01,266.9936440677966,915.6
2018-11-01,265.04025423728814,919.9999999999999
2018-12-01,263.4661016949152,924.4
2019-01-01,263.6991525423729,925.1999999999999
2019-02-01,263.82627118644064,927.6
2019-03-01,262.0042372881356,931.5999999999999
2019-04-01,262.50211864406776,933.1999999999999
2019-05-01,262.2118644067796,936.0
2019-06-01,264.3008474576271,939.1999999999999
2019-07-01,264.260593220339,941.2
2019-08-01,263.83898305084745,944.3999999999999
2019-09-01,264.3961864406779,947.1999999999999
2019-10-01,261.6292372881356,950.0
2019-11-01,261.75847457627117,953.2
2019-12-01,260.2944915254237,954.0000000000001
2020-01-01,259.4851694915254,956.4
2020-02-01,260.4915254237288,961.2
2020-03-01,257.5381355932203,964.8
